usageID	sense	context	indices_target_token	indices_target_sentence	lemma
PROCESSED_kubhist2a.json-1117-15:15	['sinnad..0-0']	wid et Mjöl-Latz pä Järntorget ; Skulle den som samma om bänder sätt , wara fä ärligt sinnad och inlämna den i Söder Telje FabrigueS-bod , fä utlofwaS därföre nöjaktig hittelön .	86:92	0:178	sinnad
PROCESSED_kubhist2a.json-1125-10:10	['medan..0-0']	Ernouf , Guvernör pä Guadeloupe , lätit nyligen afrätta flere Amcrikanffe Skeppskapitener , medan de fört lifsmedel till Negrcrne pä St. Domingo , akt Deflaltiies sedermera genom en proklamation hotat med blodiga repretzalier och befäst sina Kapare , att utan rridare procetz upphänga Kapirencrne a alla till Guadeloupe vestamda stepp .	92:97	0:336	medan
PROCESSED_kubhist2a.json-1129-15:15	['alltid..0-0', 'alltid..0-1']	Pliiraliceten bland !spaniorerne^ wilia ännu ef öfwerryga sig , akt de flesta Spansta colonier äro för alltid förlorade för moderlandet .	103:109	0:137	alltid
PROCESSED_kubhist2a.json-1132-2:2	['omständighet..0-0']	"af lyckliga omständigheter , af gynnande händelser , och utlänningars blindhet hofwa ' gjort wa ' gjort ' gjort af Czaren ett Hjeltefpöke , hwars werklighet ingen trott kunna sattas i fräaa . """	12:26	0:193	omständighet
PROCESSED_kubhist2a.json-1135-14:14	['utestående..0-0']	Konkurs , w ; d sammanträdet den 21 i denna månad fattade beflut , kon mer mastans utestående fordringar 487 ?idr 39 p .	83:93	0:120	utestående
PROCESSED_kubhist2a.json-114-7:7	['borgen..0-0', 'borgen..0-3']	anmäler , mäste han wara försedd med känd borgen , ellet Präst sedel .	42:48	0:70	borgen
PROCESSED_kubhist2a.json-114-9:9	['präst..0-0']	anmäler , mäste han wara försedd med känd borgen , ellet Präst sedel .	57:62	0:70	präst
PROCESSED_kubhist2a.json-1140-7:7	['fukt..0-0']	Fyra snygga Runi och Kök , fria frän fukt och ohyra , nied wacker utsigt , i lr .	37:41	0:81	fukt
PROCESSED_kubhist2a.json-1158-1:1	['herrskap..0-0', 'herrskap..0-2']	Et Herrskap ästundar ot hpra en Xainmare sdr en Betjänt nästa Michaeli , antingen St Iarob » gränd iller nära däromkring pS Regeringsgata » .	3:11	0:141	herrskap
PROCESSED_kubhist2a.json-1159-40:40	['där..0-0']	En dag , bäst Flögen sig sä munter pä sin Topp och sorglös uti Luften swängde , Orcanen , ofSrtänkt , i tygellöst Galopp deg höjda Bostad sprängde : ock , hwad änn wärre war , af Skepparn blef befalldt , all Topp och Flög St Böljan lämna , där faknads .	240:243	0:253	där
PROCESSED_kubhist2a.json-1164-34:34	['anföra..0-2']	stepp , af hwilka twä hade om bord de regeringens commisiarier , som blifwic anbefallde att upptaga ett twängsiän af alla Archioelagens öar , nödgade lia » commiparieima att lemna des tlvä s ?evpen , bemäkrigade sig fartygen ' , ech anförde till stäl blott det , att ha » sätt befallning att göra sint pä fjöröflveriec .	233:240	0:320	anföra
PROCESSED_kubhist2a.json-1165-1:1	['predikan..0-0']	Före predikan för Domkyrka - Församlingen afffanges i morgan iullstämwigt dea wackra Choren : I dag med bud frän Allma gro Thronell m m . Jemte tillkännagifwande , ark den Collect lom sist ! , itste Bönedag insamlades uti Mariebergs kyrka för Marks.- och Majornas Församlingars Fartigfirlörjnina , utgjorde stid Zy : 4Z st R:g:s , för Committeen , å de fattigas wägnar härigenom aflägga hlerteiig tacksägelse till hwar och en som bertill behagat bidraga .	5:13	0:455	predikan
PROCESSED_kubhist2a.json-1173-48:48	['medföra..0-0', 'medföra..0-1']	mellan Betis och Lancasters Skolor , af hwilka de sednare ej instränkas till näston wist lara , utan alla Religions-förestrifter äro hämtade ur Evangelium , och det är rena moralen , soln söre erages ; denna stillnad war ock egentliga orsaken till stillsmestan mellan Lancaster och Bell och deras anhängare , ehuru den äfwen medfört ben stora nyttan , att bägge kappas om att gifwa deras method fä hög gradaffullkomlighet , font möjligt är .	325:332	0:441	medföra
PROCESSED_kubhist2a.json-1180-12:12	['tillhörande..0-0']	beläget äldre Tryckeri , hwms hus äro rymliga och i godt stand med tillhörande Jord af 38,991 qvadratainar .	67:78	0:108	tillhörande
PROCESSED_kubhist2a.json-1180-6:6	['rymlig..0-0']	beläget äldre Tryckeri , hwms hus äro rymliga och i godt stand med tillhörande Jord af 38,991 qvadratainar .	38:45	0:108	rymlig
PROCESSED_kubhist2a.json-1184-14:14	['häst..0-0']	te för & gt ; 02 boskapskreatur och ungefärligen lika an« tal sär samt 12 stycken hästar , Tullqwarn med » par stenar och fiske , men saknad af skog .	82:88	0:150	häst
PROCESSED_kubhist2a.json-1188-13:13	['hörn..0-0', 'hörn..0-1']	Carolina N » b«rg^ Uiivertecknad har flyttat till Huset N ; o 18 wid hörnet af Stallgränden och Bjasieholms hamnen .	69:75	0:116	hörn
PROCESSED_kubhist2a.json-1201-19:19	['ifrån..1-0']	Allmänna Fattigförförjnings-Directionen genom Auction till den minstbjudande Lefwerans af följande till Inrättningens dellof erforderligc Proviants-persedlar för 6 månader , räknade ifrån och mod den i nästkommande November till och med den 30 April 1827 / att kostnadsfritt efter reguisitloncr pä stället lefwcreras näml. : saltadc Kött , dito Fläst , ord .	182:187	0:358	ifrån
PROCESSED_kubhist2a.json-1211-5:5	['inträffa..0-0', 'inträffa..0-1']	""" Af de mänga förändringar , som inträffa uti Tysta Statsförsatlnlngen genom sekularisationer och de dermed förknippade öfwerenskominelscr , är ingen sa nara för handen , som det hastiga ombytet uti det Riksfursteliga Rädet ."	33:41	0:225	inträffa
PROCESSED_kubhist2a.json-1214-54:54	['fuktig..0-0', 'fuktig..0-1']	är delta synbart i distr.ctet Tenochtitmn , som wid Spmjprernes ankomst och dä sslarne intogo större widd samt ofta nied bs&gt ; ver » swämningar wattnade land t&gt ; war mycket grön » och fruktbärande .. En stor del af Nya Spanien är likrväl att räkna bland de frodigaste länder pä Ior » » em Sluttningen af Lordiller K 11 utsatt för fuktiga windar och ttcken , sorn ästadkom » ma en flön och stark vegetation , men äro till ka stadliga för nykomlingars helst , , tyst Mdcr Tropikerne är Euftitw ohclsosamhct v & *	335:342	0:515	fuktig
PROCESSED_kubhist2a.json-1214-9:9	['ankomst..0-0']	är delta synbart i distr.ctet Tenochtitmn , som wid Spmjprernes ankomst och dä sslarne intogo större widd samt ofta nied bs&gt ; ver » swämningar wattnade land t&gt ; war mycket grön » och fruktbärande .. En stor del af Nya Spanien är likrväl att räkna bland de frodigaste länder pä Ior » » em Sluttningen af Lordiller K 11 utsatt för fuktiga windar och ttcken , sorn ästadkom » ma en flön och stark vegetation , men äro till ka stadliga för nykomlingars helst , , tyst Mdcr Tropikerne är Euftitw ohclsosamhct v & *	64:71	0:515	ankomst
PROCESSED_kubhist2a.json-1218-4:4	['förslösa..0-0']	uppoffras bclsa och lugn , förslösas förmigenlzet u ?an kredit ell-^r njutning , försumma ?	27:36	0:91	förslösa
PROCESSED_kubhist2a.json-1218-8:8	['kredit..0-2', 'kredit..1-0']	uppoffras bclsa och lugn , förslösas förmigenlzet u ?an kredit ell-^r njutning , försumma ?	56:62	0:91	kredit
PROCESSED_kubhist2a.json-122-8:8	['liksom..0-0', 'liksom..0-1']	Om man blott nägon gäng framdrog desin konststycken , liksom de fordna bravur-arierna , för att tjena till bcwis pä en stor strupfärdighet , kunde det ändä sä wara .	54:60	0:165	liksom
PROCESSED_kubhist2a.json-1235-22:22	['kull..0-2']	Wederdörande Handlande stola i häda Staterna njuta samma handclsftrmoncr och privilegier , svin °de mäst gynnade Nationers , och icke erlägga mera i kull och afgifter än desie .	149:153	0:177	kull
PROCESSED_kubhist2a.json-1235-6:6	['njuta..0-0', 'njuta..0-1', 'njuta..0-2']	Wederdörande Handlande stola i häda Staterna njuta samma handclsftrmoncr och privilegier , svin °de mäst gynnade Nationers , och icke erlägga mera i kull och afgifter än desie .	45:50	0:177	njuta
PROCESSED_kubhist2a.json-1237-10:10	['aktning..0-0']	golf och tillwinna det cn fördubblad ratt till främmande Magiers aktning ; mä dctta Rike , lika ofta blottstäldt för hotande faror , som want att dem besegra , cftrr stridiga	65:72	0:174	aktning
PROCESSED_kubhist2a.json-1260-24:24	['bristande..0-0']	sig i nägot företag ; men till utgifwandet af nämnde tidning , efter ben plan dcrwid blifwit följd , fordras nästan intet annat an renstrifware-förmäga , sä att bristande fullgörande af de derwid ätagna förbindelser knappt kan anses annorlunda , än som en följd af likgiltighet stör publikens ratt .	161:170	0:299	bristande
PROCESSED_kubhist2a.json-1260-9:9	['tidning..0-0']	sig i nägot företag ; men till utgifwandet af nämnde tidning , efter ben plan dcrwid blifwit följd , fordras nästan intet annat an renstrifware-förmäga , sä att bristande fullgörande af de derwid ätagna förbindelser knappt kan anses annorlunda , än som en följd af likgiltighet stör publikens ratt .	53:60	0:299	tidning
PROCESSED_kubhist2a.json-1270-14:14	['medan..0-0']	— De nyaste berättelserna frän Chili flildra provinsen Concepcion säsom i ett ganska blomstrande tillständ , medan dek öfriga landet genom inwänarnes tröghet be » finner fig i lägerwall .	109:114	0:187	medan
PROCESSED_kubhist2a.json-1272-10:10	['ty..0-0']	deraf en följd — eller en exrraordinaire Inkomst för Lronan tilstapad ; ty Lesia artiklar kunna ej komina imber smygmanteln .	72:74	0:125	ty
PROCESSED_kubhist2a.json-1274-6:6	['ifall..0-0']	SniM uppasning och all möjlig aeeuratetz ifall ej fela .	41:46	0:56	ifall
PROCESSED_kubhist2a.json-1275-2:2	['besluta..0-0']	Kejsaren fast beslutat förskaffa sig en krigsflotta , köpte han till en början för någon tid sedan af Nord Amerikanska handlande tvänne uti Italien bygda , utmärkt vackra och starka , kopparförhydda briggar .	14:22	0:208	besluta
PROCESSED_kubhist2a.json-1278-10:10	['ankomst..0-0']	orolige och hota fine Waktare med en Franst Acmees snara ankomst .	57:64	0:66	ankomst
PROCESSED_kubhist2a.json-1294-11:11	['hop..0-2']	återkommo , och lion blef nu , ifrån att vara ett töremål för hopens dyrkan , ett inål för dess åtlöje oell ovilja .	62:68	0:116	hop
PROCESSED_kubhist2a.json-1300-17:17	['fukt..0-0']	Ästundas alt hyra den 1 April 3 Rum och Kök med nödiga Uchus , fria frän ohyra och fukt , l usa och wackra , i Staden eller pa Norr .	83:87	0:133	fukt
PROCESSED_kubhist2a.json-1304-16:16	['grind..0-0']	Swar afwaktaS-ilti billett till Den Sökande , solli iiilenmaS i Sockerbazarebodcii wid hörnet af MalNitorgSgatan och Jakobs grind .	124:129	0:131	grind
PROCESSED_kubhist2a.json-1307-0:0	['per..0-0']	per stycke , men om ett dukin af dt större tagas ,	0:3	0:50	per
PROCESSED_kubhist2a.json-1310-10:10	['samtal..0-0']	kommit till Puerts de Santa Maria , och genast haft ett samtal med Hertigen af Angollleme , uti hwilket Förste Stats-Secreteraren , Don Victor Saez , äfwen deltagit .	56:62	0:166	samtal
PROCESSED_kubhist2a.json-1311-5:5	['hitom..0-0']	som tan lemna nägon upplysning hitom eller Sterjkaffa Paraplyn , behagade mot hederlig wcoergälloilig gh » ra det lii Wakmiästaren Tenglund , som bor uti Staden » Auklioiis » Hus till höger i Portgängen .	31:36	0:204	hitom
PROCESSED_kubhist2a.json-1316-23:23	['beslut..0-0']	olla hall erbjuda ynglingar sig att såsom friwillige går tjenst wid Fransta expeditionen , och man wäntar ined spänd nyfikenhet att fa se , hwad beslut Könungen , i afseende på de hos honom i sådant hänseende ingiftra ansökningar , stall fatta .	145:151	0:245	beslut
PROCESSED_kubhist2a.json-1316-3:3	['yngling..0-0']	olla hall erbjuda ynglingar sig att såsom friwillige går tjenst wid Fransta expeditionen , och man wäntar ined spänd nyfikenhet att fa se , hwad beslut Könungen , i afseende på de hos honom i sådant hänseende ingiftra ansökningar , stall fatta .	18:27	0:245	yngling
PROCESSED_kubhist2a.json-1338-26:26	['bokhandel..0-0']	Sjunde Delen af Handbok för Fruutimmer i Äldre och Nyare Historien , Lr af Irvcke » utkomnieu och sälfeL i Utters & C . , Wiborgs , DelLns L E. samt Holmbergs Bokhandel för 24 g B.co .	159:168	0:184	bokhandel
PROCESSED_kubhist2a.json-1359-21:21	['anföra..0-2']	Sigrid Olofsdorters närmaste Arfwingar , air einor betörde förordnande , inom nall 0li är » frän der denna anuor.ee första gängen i Tidningarnc kungörcs , anföra klander , i händelse de dertill stuve anse sig befogade .	155:161	0:219	anföra
PROCESSED_kubhist2a.json-1386-33:33	['tilläggning..0-0']	wara utelöpan^e och en lädan af mig pä intet sätt erkänneS ; sä nvdg&lt ; - S jag härmedelst den Respektive Allmänheten därom underrätta , pä det icke nägon til berörde förvisnings inlösen 1,18 warda sörledd , med tilläggning det jag för närwarande , ej äger mer än en enda pä 26 R:dal .	214:225	0:287	tilläggning
PROCESSED_kubhist2a.json-1387-15:15	['engagerad..0-0']	En ung Man , forn flin Engelska språket och Italienska bokhallenet , har genast tillfälle att blifiva engagerad pa kontor , dä han anma er sig vä Tryckeriet i biller till S. K- G .	102:111	0:180	engagerad
PROCESSED_kubhist2a.json-1389-13:13	['passande..0-0']	Oktober astundas att hyra en Wining bestående af 2 a K större Rum , passande till	68:76	0:81	passande
PROCESSED_kubhist2a.json-1394-19:19	['befara..0-0']	icke alls taga i beräkning den ensidiga rigtning , sorn derigenom skulle gifvas åt ungdomens bildning , och hvaraf några skola befara en anda af blind lydnad och slafsinne sorn	127:133	0:176	befara
PROCESSED_kubhist2a.json-1399-9:9	['snarare..0-0']	härefter wra större för deni , svin besöka spektaklet , twcrkom snarare nu är mindre , emedan man bör för-uoda att betjeningen , warnad däraf , hädanefter , vm möjligt är , » ned ännu större försigtighet nmgäs nied elden .	64:71	0:222	snarare
PROCESSED_kubhist2a.json-14-20:20	['författning..0-0', 'författning..0-1']	fladar Landskulturen mer än all forntidens härdhet och härjande tyranni , utan ock hindrar nyttan af wärt LandS fördelar och basta Författningar ; att detta onda icke kan sökaS l Luften , icke i Jorden , icke hos Folket , utan i fädime Författningar , som dana Folket och dess industri7 I Författningar som enfmiir mer ssadat an all forntidens härda Klimat , Pest , Krig , rän och mord , utffylder , utffrifningar , wäldgästningar , öfwerflöd m . m&gt ; , Författningar som mer ffadat pä hundrade är , allt som de blifwit werkstälde och medwerkände med hwarandre , än forntidens alla zru ?igheter pä tusende är , tv under desie hade wi rikedom , men nu fattigdom .	131:144	0:664	författning
PROCESSED_kubhist2a.json-1403-38:38	['häst..0-0']	Hoö Herr Handelsmannen Hanö Thomsson senior i Malmö fins att hyra 2:ne rum nied tillhörande meubier samt garderob Detzurom är alt uthyra pä samina ställe havdels dod nied derintill warande contvr , källare , loft samt stallrum för fyra hästar .	236:242	0:244	häst
PROCESSED_kubhist2a.json-1403-5:5	['senior..0-1', 'senior..0-2', 'senior..1-0']	Hoö Herr Handelsmannen Hanö Thomsson senior i Malmö fins att hyra 2:ne rum nied tillhörande meubier samt garderob Detzurom är alt uthyra pä samina ställe havdels dod nied derintill warande contvr , källare , loft samt stallrum för fyra hästar .	37:43	0:244	senior
PROCESSED_kubhist2a.json-1410-10:10	['förutse..0-0']	» ndanom ät de för Ministären fä lyckligt utfallna Depulerade-walen , och förutser ' att tidpunkten för fäderneslandets beständiga sällhet nu kommer att tag . » sin början — Ultradladet Drapiau l&gt ; Ia » c yttrade nyligen 0111 Markisen af Pombal , som xä sin tid upphäfde Jesuiterorden i Portugal , ait han derför blifwit straffad med ett rysligt uiflag , hwaraf han dött .	74:82	0:375	förutse
PROCESSED_kubhist2a.json-1422-30:30	['sinnad..0-0']	— General Hendelet klef nyligen ftiekad af General Rapp till de belagrandcs lager med den underrättelsen att de Lysta och Polsta tropparne hade beflutat lemna fästningen och att han sjelf more sinnad att genast afsända en Kurir till Kejsar Napoleon för att inhämta ord » S huru han borde förhälla sig med den Fransta Garnisonen som qwarblef .	193:199	0:342	sinnad
PROCESSED_kubhist2a.json-1426-14:14	['stycka..0-0', 'stycka..0-2']	i Toresunds Gocke » och Södermanlands Län , ali forst i Lot- fer sördolad och sedermera » styckad litbjudaS » ill försäljning linder rätte , nanna rätt , emot ärlig Ränta eller afgift i Evannmstl ; komanses de steende anbuden att underställas Kongl .	90:97	0:250	stycka
PROCESSED_kubhist2a.json-1427-21:21	['länge..0-0']	' C-ftfr några dagars regn , till en d » l starkt och » ted åsta , har jorden nu blifwit sä laskad att ben på ' längre lid ka » ilinöara » väta .	112:118	0:145	länge
PROCESSED_kubhist2a.json-143-6:6	['ifrån..0-0', 'ifrån..1-0']	Frihet kränkts i andra länder , Gingo ifrån dina stränder Hjelta , - ut lill dess försvar .	38:43	0:91	ifrån
PROCESSED_kubhist2a.json-1482-26:26	['färga..0-1']	» M at rädda ifrän de stora olyckor sol » af Wädelö tunna upkoinma , fä bör Leir såten i deras ögon handtcras lika med t. ex. konsten at färga o urkifkt rödt .	137:142	0:159	färga
PROCESSED_kubhist2a.json-1484-16:16	['författning..0-0', 'författning..0-1']	reglementariffa bestämningar rörande Katolska kyrkodisciplinen samt förhållandet lill Romerska hofwet och publicerandet af de derifrän emanerande författningar och edikter .	146:159	0:173	författning
PROCESSED_kubhist2a.json-149-5:5	['länge..0-0']	att under Sonnuarrnänaderne , och sä länge ben warma wadcrlckcn fortfar , fästa en nogggrann uppmärksamhet wst&gt ; deras Hund- och Katt-kreatur , snut i händelse nsigre sniuptomer till wattenflräck stullc wisa sig , genast luta döda och bortföra det af sjukdomen oNngripna diuret , samt förhZllstndet dcnncd hos^ Ofwer-Stähattarc-Embetet anmäla : Och gör jag mig .	37:42	0:365	länge
PROCESSED_kubhist2a.json-1513-10:10	['fuktig..0-0']	synnerhet till detta Grässtag , när det wärer pä fidkändt och fuktig mark ; det som wäxer wildt pä torra och högländta ställen , ber efta obetydliga utlöpare , hwilsir förmo ' ligen för , ledi Linnä , att anse det för en egen varietet .	62:68	0:236	fuktig
PROCESSED_kubhist2a.json-1516-13:13	['samt..0-0']	domen i Masthugget och Caraeterö.byggnaden witz Gunnebo med dertill hörande Möbler och inventarier samt orangeri , jemte all M stins för » öfrigt i bchäkl warande Lösegendom ; 3 ) till Iohn Hall och Komp .	99:103	0:205	samt
PROCESSED_kubhist2a.json-1527-1:1	['tidning..0-0']	— Wära tidningar innehålla cu SupplcmcnkarConvention , fluten mellan Stora Brittannien och Österrikiske Kejsaren d .	7:16	0:116	tidning
PROCESSED_kubhist2a.json-1529-8:8	['sinnad..0-0']	gär , att Porten för att hämnäs , stall wara sinnad konflffera all i betz iväld warande Europcist egendom , hwilken i » värde belöper fig till oerhörda summor .	45:51	0:160	sinnad
PROCESSED_kubhist2a.json-1532-18:18	['myckenhet..0-0']	förbättring as Dykeri bätarna , hivilken Fran » soserne uppfunnit , och hwa-medels det största Linie stepp stall , medels en wist Myckenhet krut , kunna sprängas i luften .	130:139	0:172	myckenhet
PROCESSED_kubhist2a.json-1542-18:18	['framtid..0-0']	de tre wcrldsdelarne , ffulle kanhända Europas ljus , desi siöjder , konster , wettenffapcr , och säledes äfwen desi frihet i en framtid kunna äterströmma till de källor , hwarisrän de tillflutit osi .	129:136	0:201	framtid
PROCESSED_kubhist2a.json-1553-30:30	['sistnämnda..0-0']	derefter följande besiut : Kongressen ar suverän och förbehåller sig hela den lagstiftande inagten , men öfwerleuinar den werkslällande äc de personer , som nu utgöra regentstapel , samt lagssipningen a : domstolarna , hwilka bäca sistnämnda auktoriteter äro henne answariga för sin förwaltning .	231:241	0:296	sistnämnda
PROCESSED_kubhist2a.json-1558-20:20	['hinder..0-0']	Etl hederliat Fruntlmmer ästundar till nästa flyttning kondition uti något Minister eller Herrskaps hus » för att bafroJ inre detaljen om hinder .	138:144	0:146	hinder
PROCESSED_kubhist2a.json-156-12:12	['alltid..0-0', 'alltid..0-1']	Af Ttycket har utkommit och säljeS i Utters Bokläda : Otacksamhet är icke alltid Werldeas lön ; Moralisk berättelse ; öfweriatt frän Tojkan ; kostar häftad 12 8- Af Trycker har utkommit och säljeS i UtterS , WiborgS och Wikforst Boklädor:.Lmllie von Alten , andra Delen ; kostar h .	74:80	0:282	alltid
PROCESSED_kubhist2a.json-1562-1:1	['rymlig..0-0']	, En rymlig och behållen Wagnbod inom Staden ; dest en sadan har afläta , behagade derom gifwa tilkänna hos Jacob Swahn .	5:11	0:121	rymlig
PROCESSED_kubhist2a.json-1588-19:19	['beräkna..0-0', 'beräkna..0-3']	tillstött af de$ Capital-Fond fylla , » red wilkor , att under byggnads-ären erhälla laglig ränta derä , stisoui bland LazarettelS närwarande inknnsten beräknad och upptagen , hiva refter äfwen denna ränta mä upphöra , under förbehäll att den päräknade inkomsten af Finsta Tolagen och af Stadens församlingar kominer alt utgä ; och anse Coniniilterade , med anledning bäras , icke erforderligt , att hoS Riksens Ständer begära der af Deputerade önsta de Län , hwarigenom ock den i sammanhang dermed streflagna aecifen pä Bränwin blifiver umbärlig , hwarwid Committérade vock uilderdänigst begärt , alt j händelse Riksens Slän-	152:160	0:626	beräkna
PROCESSED_kubhist2a.json-1592-18:18	['herrskap..0-0', 'herrskap..0-2']	En till ören kommen , alfwaiTam , trogen och i sina syflor pålitlig Kokerffa , som i flere år tjent ho * Herrskap pa landet , åstundar dylik tienst .	105:113	0:149	herrskap
PROCESSED_kubhist2a.json-1595-22:22	['krossa..0-1']	sensation och länder till största ära för Furst Repnin , som ej kunde vä nä / , ot ypper« ligcre sätt , än medelst denna redogörelse , krossa de lön , sta rykten , som illasinnade Äris stocrater sökte att utsprida hwar de kunde , utan insigt och kännedvin at dct hela .	135:141	0:269	krossa
PROCESSED_kubhist2a.json-1602-7:7	['tillräcklig..0-0']	Om r.ägon oälitlig Person ined frlff och tillräcklig mjölk will dem till emotla^a ett Ambarn e« inol röiafrtJ betalning sä lon underrättelse derom ervälla » i Kryddboden i börvet as stora Nygata^ och Tysta Bri k ?n .	41:52	0:216	tillräcklig
PROCESSED_kubhist2a.json-1610-0:0	['bokhandel..0-0']	Bokhandel a 16 & lt ; vm brand och rost pä	0:9	0:42	bokhandel
PROCESSED_kubhist2a.json-1616-4:4	['där..0-0', 'där..0-2']	samma hus wid Hornsgatan , där han vm aftonen war , bä jag ej war hemma .	27:30	0:73	där
PROCESSED_kubhist2a.json-1625-5:5	['förmärka..0-0']	Hittills har man ännu ej förmärkt de » ringaste anstalt , hwaraf kunde stukas , att Franfoferne ärna snart lemna Tystland .	25:33	0:123	förmärka
PROCESSED_kubhist2a.json-1628-24:24	['borgen..0-0', 'borgen..0-3']	bliswande Kipeffillingen & gt ; c&gt ; noi R:dr B:eo genast wid Auction - erlägges , eSer ätminstone inom - 4 dagar derefter , i hwilket senare fall nöjaktig borgen derföre renast presteras och den öfriga Summan pä de tider som Köparen med JnteckningShafware kan sig beringa , sä wida han will irndw ' ka att före tillträdet af Brn^sEgeudome » hela KSpeffillingen erlägga .	158:164	0:373	borgen
PROCESSED_kubhist2a.json-1632-27:27	['bokhandel..0-0']	Samlade Ungdoms-Skriflxr af Earl Fredrik Dahlgren , itsta Delen , hafwa nyligen frän Trycket utkommit och säljeS häftet ä l R dlr 18 % Banko i Glee r i , pS Bokhandel .	157:166	0:168	bokhandel
