usageID	sense	context	indices_target_token	indices_target_sentence	lemma
PROCESSED_kubhist2a.json-474-3:3	['sol..0-2', 'sol..0-3']	Mycket godt Skrifblcck , sol » icke inözlar och flyter lätt , samt mycket god Blanksmörja , som gör lädret bäde minkt och blankt , flark Ätticka , JernerS veritabla Pläster , lili Tobaksboden wid SödermalmStorg i Stadens nya H » S , Loden N:o & gt ; , närmast Waltén .	25:28	0:268	sol
PROCESSED_kubhist2a.json-500-7:7	['blänka..0-0']	bland hckrwarande Doktorer af alla syra fakulteterna blänka de Lem utgifwarne af tidssriften Opuzcvli med qvintestcncen af Bolongesisk lärdom .	53:59	0:143	blänka
PROCESSED_kubhist2a.json-511-27:27	['stänk..0-0']	a tag a sig att sainla Prenumeranter och Subseribens t&gt ; r och ä deni insända förteckningar wid Mars mä » nads siut , pä det Utgifw.iren mätte sättas i stänk » att riktigt bestämma Upplagans storlek .	155:160	0:203	stänk
PROCESSED_kubhist2a.json-542-10:10	['hållen..0-0', 'hållen..0-1']	Ae trycker har utkommit och saljes i Wiborgs Bokhandel : Tal , hållet i Frimurare-Logen 6fs iver framt .	63:69	0:104	hållen
PROCESSED_kubhist2a.json-548-10:10	['näst..0-2']	Genom offentelig stämning har Lösings HäradsRätt till andra Rotlegängsdogen of näst ! .	79:83	0:87	näst
PROCESSED_kubhist2a.json-581-21:21	['sol..0-2', 'sol..0-3']	Sani jag af Stadens Allktions-Kammare därstädes erhällit restlängd pä diwerse Auktioner till indrifning , sä fär jag först härmed manligen anmana deni , sol » weta sig ut klera nied betalningen , att sine Debet nästa Tisdag hos ling liqwidera , sä wida utmätving will undwikas , den jag i annat fall uran widare krindran är älagd werksiälla .	153:156	0:342	sol
PROCESSED_kubhist2a.json-60-12:12	['ljuda..0-0', 'ljuda..1-0']	ögonblicket och är i stand att , om s8 bchöss , lara cn klocka ljuda , en kanon lögås eller en flagga npphisiaS , sä stcr sadanr lif roal icke genom någon saks öfwcrg8ng fram och tillbaka .	63:68	0:189	ljuda
PROCESSED_kubhist2a.json-619-19:19	['ty..0-0']	En anständig Jungfru . , född af hederliga Föräldrar , ästundar att blifwa an« tagen ho§ nägon af Herrar Skräddare som Syjnngfru , ty ho » ka » sy alla sorter Manskläder ; i brist deras hoS » ägot Herrskap , för att fy och uträtta förefallande göromäl .	131:133	0:253	ty
PROCESSED_kubhist2a.json-619-20:20	['ho..0-0', 'ho..0-1']	En anständig Jungfru . , född af hederliga Föräldrar , ästundar att blifwa an« tagen ho§ nägon af Herrar Skräddare som Syjnngfru , ty ho » ka » sy alla sorter Manskläder ; i brist deras hoS » ägot Herrskap , för att fy och uträtta förefallande göromäl .	85:87	0:253	ho
PROCESSED_kubhist2a.json-637-15:15	['sval..0-0', 'sval..0-1', 'sval..0-2']	Prinsen , samt listig erkänsta msk Fäoerves » landels tappre Förswarare , och en glad för , hoppning att svalt sinna dessa känslor dela , de af wära .	105:110	0:150	sval
PROCESSED_kubhist2a.json-645-2:2	['vy..0-2']	En alldeles vy Wäistol är till salu & gt ; ör & gt ; 8 R ' .	12:14	0:60	vy
PROCESSED_kubhist2a.json-653-7:7	['enhällig..0-0']	Til ärliga Högtidens firande sammanträder Naicitzaner Orden enhälligt pä stors Frimurare-Salen nästa Söndag den , 5 Dec .	60:69	0:121	enhällig
PROCESSED_kubhist2a.json-669-3:3	['ek..0-1']	Man laser har ek bref , som Riddaren Micheroun litt '	14:16	0:53	ek
PROCESSED_kubhist2a.json-687-7:7	['beställning..0-0']	— Orsaken lill ExMinistrarnes arresterande ar publike äklagarens beställning emot dem , att , i början af den märkwardige Znlii manad , hafwa sammanspunnit ett försiag till omstöpning af war statsförfattning .	65:76	0:209	beställning
PROCESSED_kubhist2a.json-691-11:11	['tagen..0-0', 'tagen..0-1']	ett enftilt bref frän Korfu , ett ruinerna af Mesolongi blifwit äter tagna i besittning af Grekerna , för hwilka denna ort naturligtwiö har ett heligt wärde .	69:74	0:158	tagen
PROCESSED_kubhist2a.json-727-40:40	['fumla..0-0']	Twenne större och i anseende till sitt läge bäde formänliga och ivackra Egendomar , den elia 2 3-st:dclS mil , och den andra , som bäde har siö- och landwäg , st och en stalf mil frän Stockholm belägne , finnes till salu och fumla af en blifwande köpare genast fä tillträdas .	225:230	0:276	fumla
PROCESSED_kubhist2a.json-732-6:6	['fil..0-0', 'fil..0-1', 'fil..0-2']	fig att betala intteiet genast och fil Tredjedag Jul , innan klockan 12 , uti Huset No 2 i EnkhuSgräriden , dörrn till wänster uti portgängen , annars blilwa de sörsa.da , cmigt Pantsedelns innehall - som första gängen kungöres .	35:38	0:229	fil
PROCESSED_kubhist2a.json-809-24:24	['räd..0-0']	I anledning af den erfarenhet jag äger om edert Nit för mir FolkS bästa , tager j«g nied stor tilmedsstallelst min tilflugt til evra räd och edert biständ uti en tidepunkt , som kräkner det yttersta anwändande af eder werkningskraft och eder klokhet .	133:136	0:251	räd
PROCESSED_kubhist2a.json-810-34:34	['anställa..0-0', 'anställa..0-1']	dem at pläga sig för uselheter : De göra sig vet mödosammaste arbete af uptäg och barnsiigheler : med största oro oä ) bekymmer förffaffa de sig en ny , konstig , utsökt och lydande lefnad : med oändelig kostnad anställa de Nöjen ; men de kanna icke Nöjet .	212:220	0:257	anställa
PROCESSED_kubhist2a.json-837-6:6	['utställd..0-0']	Pä härwarande Stadshuset är en kista utställd , i hwilken hwar och en dageligen til flutet af nästa mänad , kan inlägga den allmosa , han ärnar de betryckta Bätsmännerna och Fistarefolket i Maesstuis .	37:45	0:201	utställd
PROCESSED_kubhist2a.json-856-146:146	['länd..0-0']	"Eirlulair-brc.wct ben 31 Januarii 1816 , äsrven böra utur Brandstadcmedlt » godtgöraS ; men sorn endast hälften af bestå nu äro utbetalda , och Lenna hälft / dels helt och hållet , dels till största delen , stulle ätgä titt belastande af Länen i fråga , hwarigcnom de Brandffadade blrfwe urständsatte att nu bereda sig nödige boningar , som , i anseende till den stundande härdare ärStiden , Leo för dem oundgänglige , samt detzutcm cn inteckningsbaiwarcS rätt , dä utmätning ej är fdkr , hufwudsakligast mäste bestå deruti , att sa midt pantén förslär wara förtvitzad om krafwets utbekommande , ulan afseende pä viii det stcr of första eller sednare inbctakn:ng«li , antog Konungens Befallningshasivande till gnindsatS wik liqviden "" den "" i fråga , att R&gt ; kSgäldsEontorrtS Län bordt godtgöraS af ben inni stående halfwa Brandförsäkr ugSafgiften , fä wikt ben more tillräcklig , » ren i annat fall att stillnade » af nu tillgänglige medlen stulle innehållas samt i Räntcrict qwarsta , Lfwensom ett ars ränta länt » tilladcS , der sadan ej till detta ärö stur » var betald , att RikSgäldSContoret tillgodo beräknas , efter närmare liqvid dä andra hälften af Brandstade-ersättnirigen rubekonimeS ."	1013:1017	0:1200	länd
PROCESSED_kubhist2a.json-856-25:25	['hållen..0-0', 'hållen..0-1']	"Eirlulair-brc.wct ben 31 Januarii 1816 , äsrven böra utur Brandstadcmedlt » godtgöraS ; men sorn endast hälften af bestå nu äro utbetalda , och Lenna hälft / dels helt och hållet , dels till största delen , stulle ätgä titt belastande af Länen i fråga , hwarigcnom de Brandffadade blrfwe urständsatte att nu bereda sig nödige boningar , som , i anseende till den stundande härdare ärStiden , Leo för dem oundgänglige , samt detzutcm cn inteckningsbaiwarcS rätt , dä utmätning ej är fdkr , hufwudsakligast mäste bestå deruti , att sa midt pantén förslär wara förtvitzad om krafwets utbekommande , ulan afseende pä viii det stcr of första eller sednare inbctakn:ng«li , antog Konungens Befallningshasivande till gnindsatS wik liqviden "" den "" i fråga , att R&gt ; kSgäldsEontorrtS Län bordt godtgöraS af ben inni stående halfwa Brandförsäkr ugSafgiften , fä wikt ben more tillräcklig , » ren i annat fall att stillnade » af nu tillgänglige medlen stulle innehållas samt i Räntcrict qwarsta , Lfwensom ett ars ränta länt » tilladcS , der sadan ej till detta ärö stur » var betald , att RikSgäldSContoret tillgodo beräknas , efter närmare liqvid dä andra hälften af Brandstade-ersättnirigen rubekonimeS ."	172:178	0:1200	hållen
PROCESSED_kubhist2a.json-868-9:9	['mång..0-0']	Buteljer i 3 är , kan det i läckerhet narra mången W !n ?kännare .	44:50	0:66	mång
PROCESSED_kubhist2a.json-877-22:22	['fia..0-0']	tillstcrtcr , att tein aldra sednast inom medlet of nästkommande månad till Wrktmästaren Dahlgren till kullo betala , ia wida de kl witt wara fia tält färlufiig .	142:145	0:162	fia
PROCESSED_kubhist2a.json-879-0:0	['ho..0-0', 'ho..0-1']	Ho » en hederlig Enkeiru kan ett anständigt Fruntimmer sä inackordera sig i ett sör a !tt .	0:2	0:91	ho
PROCESSED_kubhist2a.json-905-0:0	['mång..0-0', 'mång..0-2']	Mången trodde , att den rättaste , äfwenfom den ädlaste belöningen ,	0:6	0:68	mång
PROCESSED_kubhist2a.json-931-0:0	['ek..0-1']	ek nredel för ak flyta ber största af alla brott , och et hinder för den olyckligaste Far at - wacké , men niskor til medlidande genom sina nödrop !	0:2	0:148	ek
PROCESSED_kubhist2a.json-944-22:22	['fia..0-0']	Den som skri-wer en wacker Larinik Eril , och emot Contant betalning , will genast ätaga sig rcnstrifning , har tillfälle ali derom skyndsamt anmäla fia genom egenhändigt ikrifinen - vrfeglad Mlie.- kill Oi .	149:152	0:208	fia
PROCESSED_kubhist2a.json-961-23:23	['sedan..1-0']	Lund , Götheborg , Äbo oell Kasan måste sätta sig i förbindelse nied Port-Jacksons , Bombay , Boston och Lexington ( en stad sorn man för tjugu år sedan icke hörds omtalas ) och draga nytta af deras lärdes upptäckter .	147:152	0:218	sedan
PROCESSED_kubhist2a.json-989-6:6	['yppa..0-0']	Han mar nog ädelmodig , at icke yppa eller anklaga mig .	32:36	0:56	yppa
PROCESSED_swe_news_2022_1M-sentences.json-111-4:4	['pendang..0-0']	A6 naturområde blir en pendang på den östra sidan till Stadsparken och Vattenledningsparken på den västra sidan.	23:30	0:112	pendang
PROCESSED_swe_news_2022_1M-sentences.json-1180-14:14	['rykta..0-0', 'rykta..0-1']	Adam Almquist, som vann SM-guld med HV 2010 och 2017, har sedan i våras ryktats vara aktuell för en comeback i klubben.	72:79	0:119	rykta
PROCESSED_swe_news_2022_1M-sentences.json-1215-10:10	['sköt..0-0']	Adam Gaudette gjorde även USA:s första mål, när han sköt 1–1 bakom en skymd Linus Ullmark som gjorde VM-debut i det svenska målet.	52:56	0:130	sköt
PROCESSED_swe_news_2022_1M-sentences.json-1229-6:6	['mellan..0-0', 'mellan..0-3']	Adam hamnar mitt i en maktkamp mellan religion och politik.	31:37	0:59	mellan
PROCESSED_swe_news_2022_1M-sentences.json-1264-14:14	['avsnitt..0-0']	Adam McKay (”The Big Short”, ”Don't Look Up”) har producerat och regisserat de första avsnitten av serien där John C Reilly spelar klubbägaren Jeff Buss och rookien Quincy Isaiah porträtterar lagets karismatiska superstjärna Magic Johnson.	86:95	0:239	avsnitt
PROCESSED_swe_news_2022_1M-sentences.json-1307-16:16	['avsnitt..0-0']	Adam Thulins ”brottartortellini” med torsk, karljohanssvamp och jordärtskocka tog juryn med storm redan i det första avsnittets audition.	117:127	0:137	avsnitt
PROCESSED_swe_news_2022_1M-sentences.json-1348-10:10	['övervakning..0-0']	Adekvat vård och omsorg som hälso- och sjukvårdslagen föreskriver, med övervakning, mediciner och mat finns inte på en akutmottagning, har påpekats av Inspektionen för vård och omsorg, Ivo, som gjort inspektioner.	71:82	0:213	övervakning
PROCESSED_swe_news_2022_1M-sentences.json-216-5:5	['behov..0-0', 'behov..0-2']	Å andra sidan framhåller kommissionen behovet av att visa väg mot den totala klimatneutralitet till år 2050 som EU-länderna enats om.	38:45	0:133	behov
PROCESSED_swe_news_2022_1M-sentences.json-22-5:5	['företrädare..0-0', 'företrädare..0-1', 'företrädare..0-2']	”1970-talets Lamino och en utmärkt företrädare för trenden med fåtöljer i plast tillkomna innan oljekrisen.”	35:46	0:108	företrädare
PROCESSED_swe_news_2022_1M-sentences.json-281-11:11	['mellan..0-3']	Å andra sidan skulle det aldrig föresväva henne att flytta bären mellan paketen.	65:71	0:80	mellan
PROCESSED_swe_news_2022_1M-sentences.json-322-19:19	['inspirerad..0-0']	Aase Berg betraktade den i sin överlag uppskattande recension i DN som annorlunda centrallyrik, ”självsäkert pladdrig, skenbart ogestaltande och inspirerad av det lätt efterblivna språket på sociala medier”.	145:155	0:207	inspirerad
PROCESSED_swe_news_2022_1M-sentences.json-341-17:17	['teknik..0-0', 'teknik..0-3']	ABAX tillkännager lanseringen av sin nya, banbrytande mjukvara, som säkerställer att deras kunder är redo för framtidens teknik.	121:127	0:128	teknik
PROCESSED_swe_news_2022_1M-sentences.json-343-4:4	['digital..0-0', 'digital..0-1']	Abba är tillbaka – som digitala avbilder.	23:31	0:41	digital
PROCESSED_swe_news_2022_1M-sentences.json-351-20:20	['digital..0-0', 'digital..0-1']	Abba har spelat in en ny konsert inför 160 kameror iförda speciella dräkter, sedan har det verkliga översatts till det digitala.	119:127	0:128	digital
PROCESSED_swe_news_2022_1M-sentences.json-364-13:13	['såld..0-0', 'såld..0-1']	Abbas Benny Andersson tog emot ett bevis på att gruppen sålt 2,5 miljoner sålda exemplar av albumet ”Voyage”.	74:79	0:109	såld
PROCESSED_swe_news_2022_1M-sentences.json-378-7:7	['digital..0-0', 'digital..0-1']	Abba Voyage är en virtuell konsert där digitala avatarer föreställande de fyra artisternas yngre jag, under torsdagen intog konserten den nybyggda scenen i London.	39:47	0:163	digital
PROCESSED_swe_news_2022_1M-sentences.json-44-31:31	['anläggning..0-0', 'anläggning..0-1', 'anläggning..0-2']	”20 civila, kvinnor och barn har kunnat lämna till en lämplig plats, och vi hoppas att de kan föras till Zaporizjzjia, som kontrolleras av Ukraina” meddelade biträdande befäl för soldaterna i anläggningen.	192:204	0:205	anläggning
PROCESSED_swe_news_2022_1M-sentences.json-561-5:5	['näring..0-0', 'näring..0-2', 'näring..0-3']	”A bit of previous” hämtar näring från ett förr – men presenterar också det skotska bandet i en delvis ny musikalisk kostym.	27:33	0:124	näring
PROCESSED_swe_news_2022_1M-sentences.json-562-5:5	['näring..0-0', 'näring..0-2', 'näring..0-3']	”A bit of previous” hämtar näring från ett förr men presenterar också nya sidor hos det skotska indiebandet.	27:33	0:108	näring
PROCESSED_swe_news_2022_1M-sentences.json-573-5:5	['behov..0-2']	Åbo Akademi börjar utbilda psykoterapeuter – ”Behovet är som alla vet mycket stort”	46:53	0:83	behov
PROCESSED_swe_news_2022_1M-sentences.json-599-10:10	['kull..0-0', 'kull..0-1', 'kull..0-2']	Åbo är en stad som breder sig över ett flertal kullar.	47:53	0:54	kull
PROCESSED_swe_news_2022_1M-sentences.json-617-14:14	['snurra..0-0', 'snurra..0-2']	"Åbobon Tina Salminens låt ""Ensimmäinen kerta"" gavs ut den 2 september och har nu snurrat på Radio Suomis spellista i åtta veckor på raken."	81:88	0:138	snurra
PROCESSED_swe_news_2022_1M-sentences.json-659-2:2	['kontinuitet..0-1']	"Åboföretag: ""Medför kontinuitet"" Efter konkurrensutsättning har Caruna valt Eltel…"	20:31	0:82	kontinuitet
PROCESSED_swe_news_2022_1M-sentences.json-680-18:18	['arbetsplats..0-0']	Åbo handelslag, TOK, belönas för att på ett kreativt och idérikt sätt ha främjat intresset för handeln som arbetsplats och tagit hand om sin personal.	107:118	0:150	arbetsplats
PROCESSED_swe_news_2022_1M-sentences.json-702-3:3	['snabb..0-0', 'snabb..0-1']	Åbo IFK kom snabbt över förra veckans 0–4-smäll mot serieledarna Pallo-Iirot i Raumo.	12:18	0:85	snabb
PROCESSED_swe_news_2022_1M-sentences.json-736-2:2	['samla..0-0']	Åbo lucia samlar in medel till luciainsamlingen tillsammans med Finlands lucia.	10:16	0:79	samla
PROCESSED_swe_news_2022_1M-sentences.json-811-2:2	['blossa..0-0', 'blossa..0-1', 'blossa..0-2']	Abortstriden har blossat upp på nytt i samband med den amerikanska domstolsrysaren som berör Roe mot Wade.	17:24	0:106	blossa
PROCESSED_swe_news_2022_1M-sentences.json-857-9:9	['digital..0-0', 'digital..0-1']	Åbo stad har nu fått tillbaka kontrollen över funikularens digitala informationsskärmar, skriver staden på Twitter.	59:67	0:115	digital
PROCESSED_swe_news_2022_1M-sentences.json-865-2:2	['kamma..0-0']	Åbo stad kammade hem 6,2 miljoner euro då Transport- och kommunikationsverket Traficom delade ut stöd till satsningar som främjar fotgängar- och cykeltrafik.	9:16	0:157	kamma
PROCESSED_swe_news_2022_1M-sentences.json-911-13:13	['mellan..0-0', 'mellan..0-3']	Åbo trafikcentral meddelar om ett vägbeläggningsarbete som kommer utföras på Tavastgatan, på sträckan mellan Nylandsgatan och Rettigbrinken.	102:108	0:140	mellan
PROCESSED_swe_news_2022_1M-sentences.json-999-8:8	['uppförande..0-0', 'uppförande..0-1']	Absolut skapar vindkraftverk jobb under dess tillverkning och uppförande.	62:72	0:73	uppförande
