usageID	sense	context	indices_target_token	indices_target_sentence	lemma
combined_sample_ccoha1-22-26:38	['initiation.n.01']	After attempting , by the installation of Manco Capac as Inca , to control the people and subject them to his will , Pizarro returned to the coast and founded the city of Lima , where he was assassinated in 1541 , nine years after the seizure of the Inca .	26:38	0:256	installation
combined_sample_ccoha1-23-55:61	['awaken.v.01', 'awaken.v.03']	This step made room for another , and a new desire was awakened in the heart of the mother to remain near her child .	55:63	0:117	awaken
combined_sample_ccoha1-24-168:174	['awaken.v.01', 'awaken.v.03']	show that , as it is the result of false social influences , it is illfounded and may be removed , and in its place a true and noble sentiment of Union and Brotherhood awakened .	168:176	0:178	awaken
combined_sample_ccoha1-25-73:81	['carry.v.23', 'persuade.v.02']	If the principles on which these observations are founded be just , as I persuade myself they are , and they be applied as a criterion to the several state constitutions , and to the federal constitution , it will be found	73:81	0:222	persuade
combined_sample_ccoha1-26-75:82	['destine.v.01', 'intend.v.02']	Valmore I implored Madam de Cerval to dispose of the twenty thousand louis destined for me , in favour of Mr. D'Anglade , and , can you believe it ?	75:83	0:148	destine
combined_sample_ccoha1-28-52:57	['clang.n.01', 'clank.v.01']	His one eye winked knowingly , and at every word he clanked the	52:59	0:63	clank
combined_sample_ccoha1-29-0:8	['adeptness.n.01', 'facility.n.03']	facility with which he made his calculations , especially in fractions .	0:8	0:72	facility
combined_sample_ccoha1-3-22:28	['heartily.r.02', 'warmly.r.02']	Besides , had it been warmly espoused at the first by either , it would haveLafayette q s views of the Colonization Society .	22:28	0:125	warmly
combined_sample_ccoha1-30-61:67	['awaken.v.03']	England will have to come out of that England , too terribly awakened at last , is every where preparing to come out of that .	61:69	0:126	awaken
combined_sample_ccoha1-32-21:26	['woman.n.01', 'woman.n.02']	Forgive me , my good woman , I should not have spoken of this , had I known how near to your heart it was to you .	21:26	0:114	woman
combined_sample_ccoha1-33-94:101	['thence.r.02', 'thereof.r.01']	Coke says , The court of the county is no court of record , 19 and the suitors are the judges thereof .	94:101	0:103	thereof
combined_sample_ccoha1-34-197:204	['thence.r.02', 'thereof.r.01']	But it is time I should introduce you to my friend Mr. Harrington , the present proprietor of the Rookery , together with all the spirits , black and white , red and grey , who are the inhabitants thereof .	197:204	0:206	thereof
combined_sample_ccoha1-35-108:115	['thence.r.02', 'thereof.r.01']	u And the states never , in fact , did in their political capacity , as contradistinguished from the people thereof , ratify the constitution .	108:115	0:143	thereof
combined_sample_ccoha1-36-62:71	['different.s.02', 'different.s.05', 'unlike.a.01']	The colonies attempted to form some union among themselves at different times .	62:71	0:79	different
combined_sample_ccoha1-37-24:32	['gestate.v.01', 'think.v.01']	Yet it was difficult to conceive of their grandeur till we approached and touched the columns .	24:32	0:95	conceive
combined_sample_ccoha1-38-87:94	['tramp_down.v.01', 'trample.v.02', 'tread.v.02']	What follows , may teach him , my mother , to show pity on the vanquished , and not to trample on the widow and those who are without fathers .	87:94	0:143	trample
combined_sample_ccoha1-39-137:143	['awaken.v.03']	They are twentyeight in number and the undcrgradnates having the privilege of selecting any two of them , a pirit of competition must be awakened which will greatly add to their usefulness .	137:145	0:190	awaken
combined_sample_ccoha1-41-23:31	['gestate.v.01', 'think.v.01']	But when we attempt to conceive of him , i. e. think , talk , or reason of him as a being with attributes , then we form a conception of him which is very different from the idea , and which is therefore imperfect always , and most likely false .	23:31	0:246	conceive
combined_sample_ccoha1-42-193:201	['gestate.v.01']	Maria grasped her hand she looked in her countenance and saw that her heart was full , and she could not resolve to increase its sorrow by disclaiming that tender relationship she had hitherto conceived herself to bear to the affectionate guardian and cherisher of her childhood .	193:202	0:280	conceive
combined_sample_ccoha1-43-21:29	['gestate.v.01', 'think.v.01']	The latter could not conceive why the boy should sometimes leave his plough in the furrow , and sit upon a hillock , gazing curiously and admiringly upon	21:29	0:153	conceive
combined_sample_ccoha1-44-87:94	['tramp_down.v.01', 'trample.v.02']	In a progress with such principles , every thing that is worth living for is apt to be trampled in the dust , and the march of the nation is in quick time towards barbarism and dishonor .	87:95	0:187	trample
combined_sample_ccoha1-45-65:72	['apologize.v.02', 'justify.v.01', 'justify.v.02']	We are as q much said to be sancUfied in Christ Jesus , as to be justified by his merits and obedience .	65:74	0:104	justify
combined_sample_ccoha1-46-47:53	['awaken.v.01', 'awaken.v.03']	Pardon me if I express some of the reflections awakened in my own mind .	47:55	0:72	awaken
combined_sample_ccoha1-48-65:71	['awaken.v.03']	As their number has increased , suspicion and jealousy have been awakened against them they have fallen under the ban of the patriarch , and occasionally have been imprisoned or sent into exile under false pretences .	65:73	0:217	awaken
combined_sample_ccoha1-49-18:25	['supply.v.01']	The class of 1841 furnished twentysix , and that of 1842 thirtynine , supernumerary lieutenants , or that number more than the service required when they graduated .	18:27	0:165	furnish
combined_sample_ccoha1-5-128:135	['tramp_down.v.01', 'trample.v.02', 'tread.v.02']	Silence in the mean time held forth largely on the importance of standing up for one 's rights , and not letting one 's self be trampled on .	128:136	0:141	trample
combined_sample_ccoha1-50-94:103	['decide.v.01', 'determine.v.01', 'determine.v.03', 'settle.v.03', 'specify.v.02']	Both men and horses were so much exhausted by the constant labour they had undergone , that I determined to halt , in order to restore our baggage to some order .	94:104	0:162	determine
combined_sample_ccoha1-51-70:77	['badly.r.01', 'gravely.r.01']	It is not the splendor with which he has surrounded me , I answered , gravely , but the love which is my earthly Providence , which constitutes my felicity .	70:77	0:157	gravely
combined_sample_ccoha1-52-19:27	['gestate.v.01', 'think.v.01']	After this I could conceive of the sentiment which animated Petrarch of Italy , when he refused the offer of the pontiff , his patron and declined receiving in marriage that Laura , the mere thought of whose displeasure could deprive him of peace and of health .	19:27	0:262	conceive
combined_sample_ccoha1-54-34:40	['awaken.v.01', 'awaken.v.03']	might have called forth anger and awakened in her heart the spirit of resistance this , on the contrary , appealed to her better reason , and voiceless in its wholesome admonition , led her to selfblame and selfaccusation .	34:42	0:223	awaken
combined_sample_ccoha1-55-84:90	['detect.v.01', 'notice.n.01', 'notice.n.04']	With less talent and more cunning , he might have become a very rich man , at short notice but being brought up in an oldfashioned school of morality , he could never learn to dignify swindling by the epithet of smartness , nor consider overreaching his neighbor a fair business transaction .	84:90	0:292	notice
combined_sample_ccoha1-56-240:248	['think.v.01']	As Sir Geoffrey seemed to be in great torture , our party hastened homeward with all the sail their boat could carry , in order as soon as possible to procure for him more comfortable accommodations and surgical assistance for they did not conceive it safe or	240:248	0:259	conceive
combined_sample_ccoha1-57-118:124	['in.r.01', 'inbound.s.01', 'inward.a.01', 'inward.r.01']	Beethoven 's music prophesies all this , and struggles after it continually therefore , whosoever hears it , with the inward , as well as the outward ear , feels his soul spread its strong pinions , eager to pass the flaming bounds of time and space , and circle all the infinite .	118:124	0:281	inward
combined_sample_ccoha1-58-4:10	['heartily.r.02', 'warmly.r.02']	was warmly attached but time and tide soon separated the cousins , and the last farewell , and waving of handkerchiefs , were exchanged .	4:10	0:137	warmly
combined_sample_ccoha1-59-4:10	['heartily.r.02', 'warmly.r.02']	was warmly seconded by Samuel Adams , who had thus far remained silent , contrary to his usual custom in deliberative bodies , for , as be said , having doubts and difficulties respecting some parts of the proposed constitution , he chose rather to be an auditor than an objector . '	4:10	0:283	warmly
combined_sample_ccoha1-6-45:54	['different.s.02', 'different.s.03', 'different.s.05', 'unlike.a.01']	The terms of office of the Regents expire at different periods , which further complicates the composition of the Board .	45:54	0:121	different
combined_sample_ccoha1-61-19:27	['gestate.v.01', 'think.v.01']	It is difficult to conceive how the Umbrella could come into general use , owing to the state in which the streets of London were up to a comparatively recent period .	19:27	0:167	conceive
combined_sample_ccoha1-62-26:34	['gestate.v.01', 'think.v.01']	There is no difficulty in conceiving the prop A to be the fulcrum , W the weight , and E the power 1 80 .	26:36	0:105	conceive
combined_sample_ccoha1-63-36:42	['awaken.v.03']	I at once felt my sympathy and pity awakened in his behalf , and had made a movement to rise and go to his assistance , and aid him in recovering his monkey at which the heartless boys were throwing stones .	36:44	0:207	awaken
combined_sample_ccoha1-64-120:127	['discard.v.01', 'dispose.v.01']	zation , growing out of the division n NewYork , which was brought before that body , as the sole tribunal competent to dispose of it , was , in a degree , the result of this disposition on the part of many members to avoid the difficulty of examining and deciding for themselves .	120:127	0:281	dispose
combined_sample_ccoha1-65-51:59	['powerfully.r.01', 'strongly.r.01']	The furniture , and among the rest , a large chest strongly fastened , was removed into an adjoining room which was otherwise unoccupied , and which was usually kept locked .	51:59	0:174	strongly
combined_sample_ccoha1-66-8:16	['chew_over.v.01']	Boabdil ruminated on these words he made many wise resolutions , but he was prone always to act from the impulse of the moment , and was unfortunately given	8:17	0:156	ruminate
combined_sample_ccoha1-68-182:189	['trample.v.02', 'tread.v.02']	See the rose on that round cheek , it might teach that same haughty loyalist , could he see her now , what kind of hearts ' t is that we patriots wear , whose strength they think to trample .	182:189	0:191	trample
combined_sample_ccoha1-69-160:166	['awaken.v.03']	The parental relation itself enlarges the heart it presents dear objects of affection it opens new springs of feeling it furnishes fresh motives to exertion it awakens high and boundless hopes .	160:167	0:194	awaken
combined_sample_ccoha1-70-18:26	['diligence.n.02', 'industry.n.01', 'industry.n.02']	The indefatigable industry of Lord Brougham has become almost proverbial .	18:26	0:74	industry
combined_sample_ccoha1-71-144:151	['roll.v.14']	the young maiden , who sees among the youthful band of aspirants one who is the bright particular star round which her pure and trembling hopes revolve .	144:151	0:153	revolve
combined_sample_ccoha1-72-61:66	['death.n.01', 'death.n.02', 'death.n.03', 'end.n.06']	For if it leaves me without being cured , I shall be cold in death when it abates !	61:66	0:83	death
combined_sample_ccoha1-73-50:57	['absolve.v.02', 'apologize.v.02', 'justify.v.02']	z We conclude , saith the Apostle , that a man is justified by faithj without the deeds of the law .	50:59	0:100	justify
combined_sample_ccoha1-74-50:54	['decant.v.01', 'pour.v.04', 'pour.v.05']	light , though darkness shroud His way , His love pours beauteous hues through all the cloud .	50:55	0:94	pour
combined_sample_ccoha1-75-60:67	['apologize.v.02', 'justify.v.01', 'justify.v.02']	our schoolmaster to bring us unto Christ , that we miiht be justified by faith .	60:69	0:80	justify
combined_sample_ccoha1-76-39:46	['supply.v.01']	Why he hath arrows enow in his legs to furnish Robin Hood .	39:46	0:59	furnish
combined_sample_ccoha1-77-84:90	['awaken.v.03']	It so happened that the earnest enthusiasm of Esther 's character had just began to awaken a corresponding emotion in his own breast , even at the moment when all his hopes had been dashed to the earth .	84:90	0:203	awaken
combined_sample_ccoha1-78-146:154	['powerfully.r.01', 'strongly.r.01']	Then , with the maul , after repeatedly smiting the upper end of this iron rod , he placed the blunted needle endwise on the top of it , and less strongly hammered that , several times , the mate still holding the rod as before .	146:154	0:229	strongly
combined_sample_ccoha1-79-75:81	['in.r.01', 'inward.a.01']	These are matters in which people like to be duped , notwithstanding their inward consciousness that they are deceived .	75:81	0:120	inward
combined_sample_ccoha1-8-21:30	['different.s.02', 'different.s.05', 'unlike.a.01']	Three parties had at different times visited Petra , but neither of them had passed through the land of Idumea and , according to the reports of the few travellers who had crossed its borders , the Bedouins who roamed over the dreary sands of Idumea were the most ferocious tribe of the desert race .	21:30	0:300	different
combined_sample_ccoha1-80-172:179	['individual.s.04', 'private.a.01']	It is a wellconducted institution , and its pupils are thoroughly instructed by competent officers , who are graduates of northern colleges , as are most of the public and private	172:179	0:179	private
combined_sample_ccoha1-81-106:110	['wage.n.01']	Alas , miserable youth , you know by sad , by woeful experience , the living truth of our text , that the wages of Sin is Death .	106:111	0:129	wage
combined_sample_ccoha1-82-54:61	['predominate.v.01', 'prevail.v.02', 'prevail.v.04', 'prevail.v.05']	He scarcely opened his eyes , and was with difficulty prevailed upon to answer the questions that were put to him .	54:63	0:115	prevail
combined_sample_ccoha1-83-46:52	['attend.v.01', 'attend.v.02']	It will readily be seen that the difficulties attending the production of the first number of a work so entirely original , will hardly allow of its being a fair specimen .	46:55	0:172	attend
combined_sample_ccoha1-84-22:29	['supply.v.01']	wherewith he had been furnished felt in no talking humor , and sulkily followed the jailer into the house , where he recovered his speech , and recounted his portion of the adventures of the night .	22:31	0:198	furnish
combined_sample_ccoha1-85-16:23	['tramp_down.v.01', 'tread.v.02']	Helen , you are trampling under foot your birthright in the Church of Christ !	16:25	0:78	trample
combined_sample_ccoha1-86-193:204	['defense.n.04', 'vindication.n.01']	Mr. Morris passed through every variety of trial in this respect , without the slightest faltering of resolution , and on no occasion is it recorded of him , that for the purposes of temporary vindication he sacrificed a public benefit , however remote , or swerved from the	193:204	0:274	vindication
combined_sample_ccoha1-87-72:80	['southerly.s.01', 'southerly.s.02', 'southern.a.01', 'southern.a.03']	The Hicksite party had a decided majority in Bucks , Abington , and the Southern quarters .	72:80	0:91	southern
combined_sample_ccoha1-88-136:143	['do.v.03', 'perform.v.01', 'perform.v.02']	And now , too , hearing an incredible popping and fizzing of champagne , I discovered at length , that it proceeded from the person who performed the bottle of that delicate drink during dinner .	136:145	0:195	perform
combined_sample_ccoha1-89-78:85	['consume.v.04', 'consume.v.05']	There , Fatima , you know the cause of tears , And all the secret sorrow that consumes me !	78:86	0:91	consume
combined_sample_ccoha1-9-22:31	['contiguous.s.01']	You are so direct and immediate , my beloved friend !	22:31	0:53	immediate
combined_sample_ccoha1-90-53:58	['fire.n.03']	Behold o'er northern realms afar Extend the kindling flames of war !	53:59	0:68	flame
combined_sample_ccoha1-91-165:171	['in.r.01', 'inward.a.01']	Such , for example , is that in which he suggests that our Lord 's walking upon the sea may have been a habitual thing , the outward and harmonious expression of an inward state of spiritual exaltation .	165:171	0:203	inward
combined_sample_ccoha1-92-48:57	['decide.v.01', 'determine.v.01', 'determine.v.03', 'settle.v.03', 'specify.v.02']	The grass being pretty good , although old , we determined to halt for the evening , as the horses were not all arrived having had a considerable detour to make in crossing Allan Water .	48:58	0:186	determine
combined_sample_ccoha1-93-67:74	['blacken.v.01']	His apprehensions of the retrihutions of heaven are , day by day , blackening into more substantial realities .	67:77	0:111	blacken
combined_sample_ccoha1-94-185:192	['thence.r.02', 'thereof.r.01']	Religious Freedom , Under the 6rst amendment of the constitution , congress is prohibited from making any law respecting an establishment of religion , or prohibiting the free exercise thereof . '	185:192	0:196	thereof
combined_sample_ccoha1-95-38:44	['attend.v.03', 'attend.v.05']	The same good fortune does not always attend distinguished men who are described in these Memoirs , so that we are bound in justice to read what is said of them with the same degree of allowance we know bow to make here .	38:44	0:221	attend
combined_sample_ccoha1-96-116:124	['powerfully.r.01', 'strongly.r.01']	When wellestablished , they may be transplanted into the bed or border where they are to remain , z and will flower strongly the next year .	116:124	0:140	strongly
combined_sample_ccoha1-97-62:68	['attend.v.03']	and their agreements are to be judged of by the circumstances attending them .	62:71	0:78	attend
combined_sample_ccoha1-98-49:58	['decide.v.01', 'determine.v.01', 'determine.v.08', 'settle.v.03', 'specify.v.02']	most grossly deceived by outward appearances , I determined to be on my guard for the future , and take nothing upon trust .	49:59	0:124	determine
combined_sample_ccoha1-99-86:91	['onset.n.01']	At the beginning of a conversation he always tries to intimidate , but when his first onset is sustained with firmness , he becomes more mild , and ends by conversing agreeably if in good humor .	86:91	0:195	onset
combined_sample_leipzig_eng_news-1-120:133	['qualification.n.01']	Streichs team is currently eighth in the 18team Bundesliga, two points behind Hoffenheim in the last place for European qualification.	120:133	0:134	qualification
combined_sample_leipzig_eng_news-10-31:43	['implemental.s.01']	Six years later, she played an instrumental role in persuading the United Nations Convention on International Trade in Endangered Species CITES to adopt landmark legislation to limit the global seahorse trade to sustainable and legal exports.	31:43	0:242	instrumental
combined_sample_leipzig_eng_news-100-88:94	['public.a.01', 'public.s.02']	Katsina state government has approved Monday, October 5, 2020 for the reopening of both public and private secondary and primary schools across the state.	88:94	0:154	public
combined_sample_leipzig_eng_news-102-50:54	['close.v.02', 'exclude.v.02', 'shut.a.01']	Regulatory constraints on housing production have shut millions of Americans out of the countrys most productive labor markets.	50:54	0:127	shut
combined_sample_leipzig_eng_news-103-14:20	['motivate.v.01', 'propel.v.01']	With an intro propelled by 14 seconds of triplets on Mick Fleetwoods kick drum, the song was instantly recognizable, and there was plenty of time to turn up the radio before Welchs vocal began.	14:23	0:193	propel
combined_sample_leipzig_eng_news-105-144:152	['navigate.v.03']	Looking ahead, the company is confident that its capabilities, balanced portfolio, strong client relationships and financial strength will help navigate this ongoing crisis and emerge stronger, he added.	144:152	0:203	navigate
combined_sample_leipzig_eng_news-107-28:35	['inauguration.n.01']	With the fresh capital, the startup plans to invest in product capabilities and expand its sales and marketing efforts worldwide.	28:35	0:129	startup
combined_sample_leipzig_eng_news-109-22:26	['enjoy.v.01']	Large parts of the UK basked in sunshine late last week, with beaches and parks packed as the hit 33C on Thursday for hottest day of the year so far.	22:28	0:149	bask
combined_sample_leipzig_eng_news-11-100:113	['qualification.n.01']	The series will see the launch of the ICC Men's Cricket World Cup Super League which will determine qualification for the 2023 World Cup, with the top seven teams automatically booking their spot at the tournament in India.	100:113	0:223	qualification
combined_sample_leipzig_eng_news-110-70:76	['forbid.v.01', 'prevent.v.01']	So when your property taxes go up and an increase in sales tax or God forbid a state income tax, I dont want to hear ANY OF YOU whining.	70:76	0:136	forbid
combined_sample_leipzig_eng_news-111-63:68	['fire.n.03']	This statement is both factually incorrect and helps stoke the flames of the culture wars exactly what the nation needs to stop doing as it heads into winter during a pandemic.	63:69	0:176	flame
combined_sample_leipzig_eng_news-112-173:180	['admit.v.03', 'include.v.01', 'include.v.02']	Were now in a situation where an underresourced hospital is being asked to manage the epicenter of the crisis, said Zellnor Myrie, a Democratic state senator whose district includes University Hospital.	173:181	0:202	include
combined_sample_leipzig_eng_news-113-29:36	['reduce.v.11', 'stiffen.v.03', 'tighten.v.01', 'tighten.v.02']	Despite the fact that TikTok tightened its community guidelines recently, users have said they are being exposed to potentially dangerous content.	29:38	0:146	tighten
combined_sample_leipzig_eng_news-114-98:103	['basis.n.03', 'footing.n.02']	Government bonds were firmer in early deals, and the yield on the instrument due in 2030 fell 3.5 basis points to 9.31.	98:103	0:119	basis
combined_sample_leipzig_eng_news-115-141:145	['catch.n.02']	Wahab Riaz, also a leftarm fast bowler like Shaheen, moved up six places to 60th position, grabbing five wickets in two matches, including a haul of 441 in the second match of the series.	141:145	0:187	haul
combined_sample_leipzig_eng_news-116-129:135	['notice.n.04']	The zoo said it expects the supply of the panda's main food could be further disrupted by transportation struggles on very short notice, including if there is a second wave of COVID19.	129:135	0:184	notice
combined_sample_leipzig_eng_news-117-66:72	['menace.n.01']	In 2015, Brock Lesnar beat John Cena and Seth Rollins in a triple threat match.	66:72	0:79	threat
combined_sample_leipzig_eng_news-118-0:6	['motivate.v.01']	Propelled by betterthanexpected quarterly profits and car deliveries, Tesla now has a market cap of around US160 billion 238 billion nearly three times that of legacy automaker General Motors.	0:9	0:192	propel
combined_sample_leipzig_eng_news-119-19:26	['approximately.r.01']	The lake, covering roughly 300 square metres 3,229 square feet, is connected to the Maoyan River through underground streams.	19:26	0:125	roughly
combined_sample_leipzig_eng_news-12-42:55	['qualification.n.01']	However, even that might not ensure their qualification as three more teams can possibly get to 14 and pip them on NRR.	42:55	0:119	qualification
combined_sample_leipzig_eng_news-120-68:74	['condition.n.01']	In fact, press imagery for the New Facebook still shows a stream of status updates.	68:74	0:83	status
combined_sample_leipzig_eng_news-121-37:44	['admonition.n.01', 'warn.v.01', 'warn.v.04', 'warning.n.01', 'warning.n.03']	This allows the vehicle to trigger a warning or an emergency braking maneuver as required.	37:44	0:90	warning
combined_sample_leipzig_eng_news-122-70:79	['inconspicuous.a.01']	After years of being silenced, the achievements of women are rendered invisible by the phrase a woman .	70:79	0:103	invisible
combined_sample_leipzig_eng_news-123-67:74	['orb.v.01', 'revolve.v.01']	The central thrust of his lawyers' extradition challenge, however, revolves around the argument that to criminalise Assange would make it unlawful for news outlets to publish stories based on leaked government documents.	67:75	0:220	revolve
combined_sample_leipzig_eng_news-124-101:109	['facility.n.01']	In pursuit of these and other objectives, the GEMXIM Bank CEO said his outfit signed a US100 million facility in the UK in January this year.	101:109	0:141	facility
combined_sample_leipzig_eng_news-125-90:101	['scrupulously.r.01']	Track and field athletics have grown to become a national pastime, followed and supported religiously by all Jamaicans.	90:101	0:119	religiously
combined_sample_leipzig_eng_news-126-81:89	['navigate.v.03']	The show delved deeply into serious issues as the characters tried their best to navigate a difficult and ethically ambiguous business.	81:89	0:135	navigate
combined_sample_leipzig_eng_news-127-118:122	['unit.n.02']	Brooks is currently undergoing treatment for COVID19 and double pneumonia in TennovaClevelands medical intensive care unit.	118:122	0:123	unit
combined_sample_leipzig_eng_news-128-213:220	['coherent.a.01']	To be precise, any data we store in the hard drive is susceptible to the fragile nature of these drives, not so secure environment of the internet our system depends on and vulnerability of the internal system to logical and mechanical failures.	213:220	0:245	logical
combined_sample_leipzig_eng_news-129-58:63	['implant.v.01']	You can watch s performance at the 2500 mark in the Vimeo embed.	58:63	0:64	embed
combined_sample_leipzig_eng_news-13-113:120	['section.n.04']	Sony India, known for its premium tag, plans to fortify its presence in the entrylevel television and home audio segments.	113:121	0:122	segment
combined_sample_leipzig_eng_news-130-108:115	['approximately.r.01']	We're making copies and deliveries to get them covered, but this Caucus is gonna be the big one, he tweeted roughly 20 minutes before the caucuses began.	108:115	0:153	roughly
combined_sample_leipzig_eng_news-132-52:56	['wide.r.01', 'wide.r.02', 'wide.r.04']	For the Jets, their biggest impending free agent is wide receiver Robby Anderson.	52:56	0:81	wide
combined_sample_leipzig_eng_news-133-95:103	['down.r.01']	Chinese health authorities say two new coronavirus cases were confirmed Saturday, continuing a downward trend since the government took steps to cut the number of people arriving from overseas.	95:103	0:193	downward
combined_sample_leipzig_eng_news-134-40:49	['inconspicuous.a.01', 'invisible.a.01']	I pledged to never take for granted the invisible people and to treat them with kindness and respect.	40:49	0:101	invisible
combined_sample_leipzig_eng_news-135-78:86	['demote.v.01', 'relegate.v.04']	Manchester City are on the verge of signing Dutch centre back Nathan Ake from relegated side Bournemouth after the Cherries accepted 41 million from the Premier League giants.	78:87	0:175	relegate
combined_sample_leipzig_eng_news-136-41:49	['powerfully.r.01', 'strongly.r.01']	A powerful human heart was still beating strongly within Naraku.	41:49	0:64	strongly
combined_sample_leipzig_eng_news-137-25:32	['inauguration.n.01']	Technology investors and startups will go where they can function most efficiently in technology terms this translates to the fastest internet services.	25:33	0:152	startup
combined_sample_leipzig_eng_news-138-60:67	['perform.v.01']	Northland Securities upgraded shares of Intel from an under perform rating to a market perform rating and set a 46.00 price target for the company in a research note on Monday, November 2nd.	60:67	0:190	perform
